age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
28;blue-collar;single;basic.6y;no;yes;no;cellular;may;wed;495;1;999;0;nonexistent;-0.1;94.19753324815376;-38.77142944982298;2.554449031869913;5099;no
47;technician;married;basic.6y;no;no;no;cellular;may;thu;82;3;999;0;success;-1.7;93.41527979102025;-46.54885902468879;3.3266879617582146;5099;yes
43;management;single;basic.6y;no;yes;no;cellular;may;mon;112;2;20;1;nonexistent;-1.7;93.26881845843289;-37.764130055356475;2.927156799500856;5228;no
31;blue-collar;single;university.degree;no;yes;no;telephone;aug;fri;268;2;999;0;nonexistent;1.4;92.56968545919219;-39.644722862061606;4.8140111217605694;5099;no
56;management;married;university.degree;no;yes;no;cellular;jul;wed;74;1;999;0;nonexistent;1.1;93.52331759571135;-34.78954296221389;2.097649800072543;5176;no
53;admin.;married;university.degree;no;yes;no;cellular;jul;thu;180;2;999;0;failure;-1.8;93.85516130057368;-49.05018154598851;2.470553708949259;5099;no
28;admin.;single;basic.9y;unknown;yes;yes;cellular;may;wed;202;4;999;0;nonexistent;-1.8;92.60923959421444;-39.130845733048155;5.1;5017;no
26;admin.;married;high.school;no;yes;unknown;cellular;may;wed;168;4;999;0;nonexistent;-0.1;93.09742792183994;-43.626568665816635;2.6986492349997446;5176;no
43;blue-collar;married;basic.4y;no;yes;yes;cellular;jul;mon;29;2;999;0;failure;-0.1;93.03162920551166;-34.105448205219794;4.43188256390147;5017;no
62;blue-collar;married;basic.9y;no;yes;no;cellular;jun;fri;319;1;999;0;nonexistent;-1.7;93.63971564157937;-42.940289782364886;3.022069731531939;5099;no
31;management;single;illiterate;no;no;no;cellular;may;thu;79;1;999;0;nonexistent;1.4;93.74656191667465;-43.9312147623677;2.380859509514482;5228;no
47;unknown;divorced;basic.4y;no;yes;no;cellular;may;tue;799;5;13;1;nonexistent;-1.8;94.44670388550786;-39.99992725884675;3.5;5017;yes
35;retired;married;basic.9y;unknown;yes;yes;telephone;may;thu;330;3;999;0;nonexistent;1.1;93.52247376880483;-42.76320717374595;0.6;5191;no
46;retired;married;basic.4y;unknown;yes;no;cellular;oct;thu;9;4;999;0;nonexistent;1.4;93.92346498361013;-39.366731500437204;5.1;5176;no
19;unknown;married;university.degree;no;yes;no;cellular;nov;wed;30;2;16;2;nonexistent;1.4;93.43977035049646;-35.772339949714734;5.1;5195;no
